Palabra en Inglés;Palabra en Español;Categoría;Tamaño;Descripción
Air;Aire;Elemental;Muy Grande;El gas que rodea la Tierra.
Airplane;Avión;Transporte;Grande;Medio de transporte aéreo.
Alien;Extraterrestre;Ciencia ficción;Mediano;Ser de otro planeta, a veces representado como invasor en la ciencia ficción.
Axe;Hacha;Arma;Pequeño;Herramienta utilizada para cortar.
Baby;Bebé;Persona;Muy pequeño;Ser humano en sus primeras etapas de vida.
Beer;Cerveza;Comestibles;Muy pequeño;Bebida alcohólica.
Bicycle;Bicicleta;Transporte;Mediano;Vehículo de dos ruedas impulsado por pedales.
Bird;Pájaro;Animal;Muy pequeño;Ave voladora.
Blood;Sangre;Comestibles;Pequeño;Líquido vital en el cuerpo humano.
Book;Libro;Objeto;Muy pequeño;Objeto impreso con información.
Bowl;Tazón;Objeto;Muy pequeño;Recipiente para alimentos líquidos o sólidos.
Brain;Cerebro;Comestibles;Muy pequeño;Órgano principal del sistema nervioso.
Butter;Mantequilla;Comestibles;Muy pequeño;Producto lácteo utilizado en cocina.
Cage;Jaula;Objeto;Mediano;Recipiente para confinar animales.
Camera;Cámara;Objeto;Muy pequeño;Dispositivo para capturar imágenes y videos.
Car;Coche;Transporte;Mediano;Medio de transporte terrestre.
Castle;Castillo;Edificio;Grande;Estructura fortificada, a menudo asociada con realeza o nobleza.
Cat;Gato;Animal;Pequeño;Mamífero doméstico.
Chain;Cadena;Arma;Pequeño;Serie de eslabones metálicos enlazados.
Chainsaw;Motosierra;Arma;Pequeño;Herramienta eléctrica utilizada para cortar madera.
Church;Iglesia;Edificio;Grande;Lugar de culto religioso.
Cloud;Nube;Naturaleza;Grande;Masa de vapor de agua en la atmósfera.
Cockroach;Cucaracha;Animal;Muy pequeño;Insecto común en hogares.
Community;Comunidad;Persona;Muy Grande;Grupo de personas que comparten intereses o ubicación geográfica.
Computer;Computadora;Objeto;Muy pequeño;Dispositivo electrónico para procesar información.
Cross;Cruz;Concepto;Muy pequeño;Símbolo religioso.
Cup;Taza;Objeto;Muy pequeño;Recipiente para bebidas.
Death;Muerte;Concepto;Muy Grande;El final de la vida.
Devil;Diablo;Ciencia ficción;Grande;Figura maligna en algunas religiones.
Diamond;Diamante;Elemental;Muy pequeño;Preciosa gema de alta dureza.
Dragon;Dragón;Ciencia ficción;Grande;Criatura mítica, a menudo con habilidades sobrenaturales.
Duck;Pato;Animal;Pequeño;Ave acuática.
Dynamite;Dinamita;Arma;Muy pequeño;Explosivo utilizado en construcción y demolición.
Electricity;Electricidad;Elemental;Muy Grande;Energía producida por la carga eléctrica.
Fence;Cerca;Edificio;Pequeño;Barrera para delimitar o proteger un área.
Film;Película;Concepto;Mediano;Producción audiovisual.
Fire;Fuego;Elemental;Muy Grande;Reacción química que produce calor y luz.
Fish;Pescado;Animal;Muy pequeño;Animal acuático.
Gold;Oro;Elemental;Pequeño;Metal precioso y valioso.
Grass;Hierba;Elemental;Grande;Vegetación verde que cubre el suelo.
Guitar;Guitarra;Objeto;Pequeño;Instrumento musical de cuerdas.
Gun;Pistola;Arma;Muy pequeño;Arma de fuego.
Heart;Corazón;Comestibles;Muy pequeño;Órgano vital que bombea sangre.
Helicopter;Helicóptero;Transporte;Grande;Vehículo aéreo con rotores giratorios.
Home;Hogar;Edificio;Grande;Lugar de residencia.
King;Rey;Persona;Pequeño;Monarca masculino.
Laser;Láser;Arma;Pequeño;Dispositivo que emite luz coherente.
Law;Ley;Concepto;Muy Grande;Reglas y regulaciones establecidas por la sociedad.
Lightning;Relámpago;Naturaleza;Grande;Descarga eléctrica en la atmósfera.
Man;Hombre;Persona;Pequeño;Ser humano de género masculino.
